candidate_id,program_id,score,timestamp,is_scholarship,hs_id
73607,1775,4212,1,0,1523
69961,8,6965,2,1,720
50727,70,7017,3,0,376
21893,83,6242,4,1,1070
2555,2,7429,5,1,769
14021,1,6846,6,1,806
16314,25,5414,7,0,1509
73163,1,7406,8,0,1789
3057,5,7622,9,0,688
39549,488,7494,10,0,79
20650,389,7752,11,0,736
40269,1,4765,12,0,1246
28820,1,5165,13,0,758
3681,2,7898,14,0,1394
36718,227,3872,15,1,1328
33765,1,5359,16,0,1656
72664,2,7652,17,0,1034
54054,1,7624,18,0,1761
76830,1,6176,19,0,1736
69960,13,5755,20,0,772
73158,1,4490,21,0,1431
30648,6,5531,22,0,1135
6164,81,6916,23,0,1770
73938,73,5334,24,0,46
75190,6,8469,25,0,1151
5472,141,5069,26,1,527
16763,19,6166,27,0,1449
71829,224,7485,28,1,1737
55760,2,6549,29,0,505
66024,4,7194,30,0,646
12548,20,8132,31,1,202
8896,1067,9003,32,1,26
43926,28,4792,33,0,1444
18806,9,9194,34,0,499
28935,2,6514,35,1,1111
14711,3,6267,36,0,1595
59981,2,5599,37,1,854
31821,1996,6461,38,0,854
50904,468,6049,39,0,738
71028,520,5254,40,0,912
15514,14,5179,41,1,447
31115,64,7598,42,0,1577
20375,3,7947,43,0,1309
42797,10,6889,44,0,1181
50333,1,6376,45,0,349
2739,6,8556,46,0,1638
11932,2,8884,47,0,30
21726,1,6384,48,0,589
76675,730,7653,49,0,1278
30918,1,7697,50,0,1348
76298,191,5540,51,0,463
74698,58,6494,52,0,1636
6048,1,5021,53,0,1222
44040,10,7844,54,1,1577
65055,2334,3160,55,0,417
70628,2013,8453,56,1,1346
57585,18,5916,57,1,178
3484,121,4574,58,1,1217
25154,64,7065,59,0,1196
22793,3,6332,60,0,1269
55239,16,4190,61,0,774
69039,23,8810,62,0,1634
40972,5,8754,63,0,1270
69886,204,5496,64,0,604
46372,7,7056,65,0,1686
42012,96,7310,66,0,362
46747,1,9190,67,0,1193
5344,7,9160,68,0,301
21765,1,5668,69,0,1165
54048,36,5878,70,0,397
46315,391,7893,71,0,261
70976,15,6933,72,0,332
76597,18,6025,73,1,1494
37513,29,6036,74,1,411
46295,2,4698,75,1,291
60258,5,6891,76,0,1187
43489,20,6191,77,1,1758
5266,36,7509,78,0,23
62552,5,7499,79,1,1061
59443,9,4225,80,0,412
35116,3,6064,81,0,204
42277,17,7385,82,0,330
37821,47,7054,83,0,662
65350,3,6818,84,1,1345
58676,51,5746,85,0,1695
67954,291,6606,86,0,1357
9870,14,7533,87,1,95
77516,1813,8528,88,0,343
37758,3,6849,89,1,1283
32459,731,6407,90,0,1307
13404,1,8218,91,0,391
15106,4,6849,92,0,846
61349,199,6153,93,1,182
49497,1,6610,94,0,780
44200,27,8650,95,1,1457
15325,385,3377,96,0,1521
14066,1037,7204,97,0,129
8140,50,4050,98,1,681
22362,4,9371,99,0,1581
74856,3,6173,100,1,1469
4769,31,7295,101,0,1212
19807,1,6455,102,0,1050
18726,1,3937,103,1,1032
4532,439,6076,104,0,1752
26400,30,6194,105,0,301
465,1,6069,106,1,1587
23374,7,7031,107,1,833
72471,3,8688,108,1,793
7585,375,3844,109,0,635
64848,3,7123,110,0,549
79254,74,6719,111,0,671
68297,90,8279,112,0,638
63305,3,6863,113,0,619
25360,2,4755,114,0,389
24808,13,8123,115,0,1266
30268,5,6536,116,0,1281
61806,23,7988,117,0,1440
77772,3,4317,118,0,1235
2548,155,8636,119,0,1176
46591,6,7902,120,0,1553
62047,1,7110,121,0,1329
70481,125,5695,122,0,626
22710,523,5527,123,0,433
8610,49,5397,124,0,1270
71168,16,7226,125,0,1458
24951,387,4560,126,0,320
13515,894,5893,127,0,593
62588,1,5845,128,1,247
42033,10,6436,129,0,777
33607,1,8527,130,1,1158
75472,3,6682,131,0,89
44931,2,7097,132,0,1472
72638,8,8640,133,0,939
8863,47,6346,134,0,269
52822,337,5951,135,0,936
44564,2,6376,136,0,1059
24297,1,4273,137,0,407
5940,2461,8587,138,1,391
31359,135,8510,139,0,1708
26967,16,4362,140,0,170
3500,1,6548,141,0,457
65328,1,8164,142,0,565
19993,899,4578,143,1,1428
36624,14,8466,144,1,1463
57496,334,6255,145,0,969
53578,138,6344,146,1,728
17114,97,9156,147,1,271
57184,175,6313,148,0,1044
77312,2,6281,149,1,838
936,2,3569,150,1,1523
63559,7,7536,151,1,175
74356,116,3048,152,1,1445
29369,155,7961,153,0,1072
60639,104,6114,154,0,681
54175,20,5494,155,0,842
78220,9,6280,156,0,978
77408,2,6329,157,0,184
71263,43,9111,158,0,1305
62040,38,7843,159,0,1544
63849,12,6924,160,0,1772
42550,76,4533,161,0,572
61862,1781,8674,162,0,1306
14460,1031,6423,163,1,538
32475,1,8120,164,0,611
31947,3,7590,165,0,1148
63339,27,6721,166,1,509
20744,53,8461,167,0,503
70014,3,5903,168,0,838
13712,856,6893,169,0,750
7342,8,6540,170,0,1792
3900,113,6223,171,0,223
37124,1,7090,172,0,332
3995,2,3039,173,0,795
19764,1,6558,174,1,1107
79398,149,4303,175,0,356
46821,13,8356,176,0,33
35347,1183,8030,177,0,1039
77200,25,6766,178,0,484
55701,3,7618,179,0,538
18147,4,2968,180,0,1555
57081,5,6321,181,1,1710
8976,2,4968,182,1,735
12284,1,5915,183,0,1117
55647,37,3508,184,0,962
10200,3,5487,185,0,315
33285,8,7972,186,0,1516
46954,64,5383,187,0,64
71514,2,5618,188,0,275
78160,7,9315,189,1,1375
33099,3,8320,190,1,1160
56102,3,6152,191,1,1576
66730,43,5967,192,0,85
59038,1,8694,193,0,116
49246,5,8479,194,1,1448
14478,1,8370,195,0,756
14892,44,6217,196,0,382
56944,3,6605,197,1,1460
12693,1425,6976,198,0,1128
57236,10,7256,199,0,1030
10996,41,6968,200,1,893
65702,13,10000,201,0,1272
79455,206,6971,202,1,784
3969,59,6867,203,1,562
19112,34,5524,204,1,1657
47190,1,7551,205,0,1608
9088,1,4852,206,1,526
12247,97,6001,207,0,1441
13391,6,4263,208,1,1482
52318,1682,5724,209,0,1554
74357,33,7820,210,1,566
54540,215,5925,211,1,204
7173,92,7803,212,1,585
61422,1383,7308,213,1,696
36992,40,5466,214,0,1044
26303,946,5717,215,1,1790
46187,6,7796,216,0,882
59624,2,8300,217,0,365
76741,1,6051,218,0,1128
53915,2,4072,219,0,21
19096,518,6976,220,1,1048
41622,40,5458,221,0,39
22252,1,7451,222,0,1513
26474,1,6691,223,0,327
38300,8,5725,224,0,484
9448,15,7215,225,0,255
19379,4,5688,226,0,1221
69847,1,7406,227,0,1086
16966,2,5322,228,0,811
19566,413,8541,229,0,617
79399,75,8622,230,0,1001
41783,203,8018,231,0,1369
52077,2,6489,232,0,1580
6853,43,5537,233,0,925
65417,2,7046,234,0,1737
34839,3,7086,235,1,388
61853,1246,6526,236,0,445
29041,2,7881,237,1,1068
53720,3,8158,238,1,1721
77862,2,6007,239,0,1743
15482,370,8447,240,0,1273
4735,52,7295,241,0,1419
9526,22,7618,242,0,576
46201,299,7205,243,1,889
62477,8,8447,244,1,79
67526,695,3998,245,0,705
864,128,7854,246,0,349
11277,3,7933,247,1,1727
71797,2,5684,248,0,723
10099,14,5751,249,0,433
39046,7,6466,250,1,110
43823,147,5473,251,1,1309
41808,38,5311,252,1,914
39438,89,6406,253,0,259
3670,25,4509,254,1,1777
5793,2,8951,255,0,46
17371,91,2635,256,0,1386
30560,1847,6727,257,0,281
75073,33,5826,258,1,958
32511,65,6026,259,0,1341
49748,2,6761,260,1,1120
53079,1,7427,261,0,290
1469,7,7212,262,1,1334
74578,23,5748,263,0,33
4213,77,8177,264,0,673
42245,9,2851,265,1,156
49596,15,8639,266,0,1231
27113,1,6716,267,0,1236
22624,1,5195,268,1,535
70360,1,5835,269,0,740
72452,3,7924,270,0,1290
44382,2,5254,271,0,1697
6302,1,5523,272,1,745
12053,4,8206,273,0,1688
70926,4,7728,274,0,1378
43159,217,8780,275,0,1411
53694,912,7080,276,0,625
42938,2255,7866,277,0,1066
32064,85,5326,278,0,174
40237,1,8333,279,0,1684
61112,2,5279,280,1,1111
60175,2457,6998,281,1,179
18324,56,6110,282,1,965
34343,325,8319,283,0,1710
40233,2,6966,284,0,642
47509,2,6410,285,0,175
516,1,6529,286,0,332
56309,13,3458,287,0,1427
7821,4,6762,288,0,1464
11190,9,8390,289,1,1748
20864,1,8035,290,0,147
63816,1,6923,291,0,520
72662,5,2133,292,1,560
14881,806,5165,293,0,572
40838,38,6114,294,0,767
30413,19,8220,295,0,947
39714,1,7478,296,0,251
45982,7,8131,297,1,772
19768,4,7329,298,0,1033
45069,31,5731,299,0,1573
13067,5,5915,300,1,827
24851,168,8007,301,0,812
26826,2,8096,302,0,629
26699,78,8599,303,0,583
9817,1,6484,304,0,849
21979,1,4648,305,1,1364
