program_id,capacity
1,400
2,69
3,102
4,80
5,72
6,45
7,45
8,106
9,70
10,27
11,74
12,76
13,77
14,24
15,87
16,61
17,45
18,50
19,83
20,100
21,98
22,116
23,102
24,86
25,44
26,71
27,61
28,80
29,36
30,74
31,79
32,115
33,111
34,110
35,104
36,24
37,86
38,51
39,116
40,52
41,77
42,80
43,83
44,54
45,25
46,42
47,100
48,118
49,32
50,24
51,68
52,53
53,21
54,42
55,47
56,45
57,35
58,65
59,36
60,48
61,108
62,103
63,45
64,75
65,50
66,59
67,103
68,64
69,44
70,58
71,57
72,63
73,78
74,118
75,51
76,64
77,118
78,27
79,98
80,44
81,69
82,70
83,86
84,117
85,93
86,64
87,64
88,72
89,40
90,50
91,91
92,64
93,64
94,34
95,45
96,95
97,153
98,30
99,105
100,84
101,69
102,92
103,60
104,33
105,56
106,114
107,41
108,52
109,96
110,106
111,83
112,111
113,58
114,103
115,103
116,36
117,91
118,43
119,105
120,91
121,79
122,37
123,76
124,26
125,21
126,42
127,64
128,112
129,103
130,76
131,79
132,115
133,97
134,37
135,23
136,83
137,32
138,44
139,92
140,40
141,101
142,21
143,27
144,103
145,31
146,83
147,69
148,20
149,66
150,44
151,86
152,107
153,106
154,31
155,46
156,72
157,79
158,24
159,89
160,52
161,116
162,74
163,83
164,51
165,120
166,103
167,49
168,105
169,80
170,97
171,42
172,29
173,48
174,78
175,80
176,99
177,49
178,30
179,90
180,46
181,22
182,25
183,73
184,27
185,102
186,60
187,84
188,100
189,108
190,96
191,85
192,102
193,68
194,294
195,82
196,67
197,59
198,39
199,51
200,44
201,32
202,97
203,90
204,88
205,114
206,119
207,91
208,77
209,83
210,69
211,88
212,91
213,35
214,52
215,51
216,101
217,58
218,104
219,82
220,90
221,35
222,98
223,109
224,55
225,48
226,67
227,97
228,73
229,99
230,79
231,39
232,26
233,95
234,116
235,90
236,45
237,120
238,80
239,63
240,63
241,50
242,114
243,99
244,94
245,47
246,49
247,30
248,67
249,107
250,52
251,101
252,44
253,45
254,58
255,45
256,40
257,76
258,22
259,109
260,25
261,108
262,63
263,56
264,63
265,45
266,37
267,38
268,113
269,70
270,21
271,22
272,24
273,58
274,118
275,108
276,71
277,60
278,37
279,94
280,29
281,69
282,26
283,104
284,93
285,77
286,66
287,106
288,36
289,56
290,53
291,259
292,61
293,42
294,108
295,44
296,53
297,116
298,105
299,104
300,47
301,72
302,104
303,110
304,64
305,77
306,100
307,114
308,50
309,56
310,45
311,22
312,100
313,86
314,77
315,110
316,47
317,46
318,89
319,22
320,64
321,63
322,114
323,47
324,28
325,87
326,105
327,111
328,97
329,50
330,62
331,59
332,45
333,66
334,99
335,56
336,41
337,77
338,95
339,119
340,119
341,68
342,66
343,75
344,68
345,95
346,54
347,89
348,88
349,44
350,29
351,115
352,31
353,67
354,48
355,111
356,110
357,48
358,105
359,109
360,42
361,109
362,25
363,115
364,51
365,73
366,94
367,53
368,82
369,50
370,20
371,28
372,31
373,83
374,29
375,26
376,116
377,109
378,60
379,68
380,63
381,86
382,56
383,46
384,53
385,22
386,113
387,66
388,334
389,50
390,27
391,45
392,63
393,89
394,75
395,86
396,45
397,85
398,63
399,39
400,45
401,66
402,101
403,102
404,79
405,22
406,84
407,39
408,21
409,35
410,38
411,98
412,50
413,75
414,83
415,90
416,97
417,99
418,52
419,104
420,66
421,58
422,106
423,82
424,54
425,37
426,23
427,62
428,66
429,93
430,46
431,65
432,82
433,27
434,76
435,27
436,86
437,95
438,87
439,74
440,81
441,80
442,39
443,100
444,50
445,36
446,69
447,118
448,55
449,36
450,87
451,117
452,119
453,64
454,25
455,96
456,30
457,55
458,73
459,105
460,28
461,64
462,42
463,41
464,49
465,86
466,112
467,110
468,33
469,28
470,65
471,88
472,23
473,29
474,29
475,89
476,52
477,102
478,68
479,110
480,57
481,73
482,85
483,46
484,95
485,257
486,102
487,58
488,20
489,22
490,91
491,72
492,50
493,69
494,50
495,30
496,118
497,96
498,38
499,20
500,85
501,62
502,72
503,120
504,41
505,26
506,62
507,70
508,90
509,100
510,51
511,95
512,65
513,59
514,40
515,67
516,113
517,23
518,37
519,53
520,90
521,35
522,46
523,94
524,65
525,103
526,111
527,95
528,96
529,71
530,44
531,32
532,53
533,107
534,37
535,31
536,76
537,90
538,69
539,76
540,24
541,76
542,90
543,57
544,114
545,51
546,119
547,105
548,26
549,65
550,106
551,22
552,23
553,24
554,97
555,69
556,99
557,38
558,59
559,80
560,58
561,59
562,96
563,80
564,75
565,98
566,89
567,34
568,85
569,80
570,26
571,74
572,35
573,37
574,54
575,41
576,66
577,69
578,78
579,69
580,60
581,94
582,370
583,42
584,117
585,113
586,105
587,113
588,73
589,22
590,63
591,109
592,100
593,43
594,75
595,112
596,94
597,34
598,100
599,92
600,120
601,31
602,57
603,95
604,82
605,49
606,26
607,27
608,119
609,116
610,102
611,47
612,64
613,71
614,92
615,102
616,48
617,117
618,107
619,71
620,33
621,41
622,40
623,92
624,58
625,49
626,84
627,96
628,41
629,110
630,98
631,93
632,80
633,74
634,37
635,87
636,74
637,82
638,70
639,47
640,115
641,26
642,53
643,80
644,105
645,90
646,80
647,22
648,85
649,94
650,108
651,70
652,69
653,58
654,31
655,115
656,70
657,111
658,108
659,21
660,105
661,32
662,96
663,89
664,101
665,99
666,115
667,75
668,97
669,92
670,40
671,22
672,82
673,115
674,85
675,116
676,93
677,77
678,43
679,327
680,109
681,34
682,103
683,82
684,32
685,73
686,25
687,51
688,79
689,58
690,91
691,96
692,61
693,103
694,61
695,110
696,48
697,54
698,97
699,44
700,53
701,46
702,46
703,66
704,41
705,75
706,73
707,42
708,103
709,29
710,98
