program_id,capacity
1,38
2,106
3,98
4,65
5,41
6,90
7,111
8,104
9,97
10,43
11,69
12,57
13,99
14,74
15,92
16,94
17,25
18,112
19,87
20,89
21,99
22,115
23,86
24,43
25,114
26,68
27,76
28,49
29,85
30,36
31,30
32,26
33,108
34,43
35,97
36,93
37,76
38,84
39,48
40,111
41,87
42,87
43,38
44,82
45,99
46,72
47,100
48,81
49,105
50,28
51,51
52,98
53,31
54,62
55,68
56,108
57,44
58,85
59,74
60,115
61,97
62,75
63,70
64,37
65,41
66,66
67,46
68,29
69,95
70,50
71,100
72,57
73,75
74,36
75,91
76,98
77,76
78,105
79,118
80,54
81,60
82,101
83,115
84,80
85,101
86,88
87,77
88,100
89,85
90,107
91,46
92,70
93,51
94,115
95,46
96,96
97,384
98,89
99,99
100,40
101,88
102,67
103,87
104,26
105,70
106,35
107,80
108,42
109,59
110,29
111,119
112,86
113,69
114,112
115,52
116,73
117,107
118,42
119,47
120,60
121,77
122,44
123,104
124,40
125,48
126,86
127,73
128,37
129,38
130,96
131,81
132,88
133,49
134,21
135,30
136,50
137,69
138,55
139,39
140,34
141,35
142,119
143,39
144,20
145,73
146,55
147,60
148,54
149,113
150,76
151,73
152,115
153,51
154,75
155,44
156,107
157,58
158,115
159,107
160,45
161,22
162,79
163,44
164,120
165,79
166,93
167,46
168,102
169,114
170,49
171,53
172,31
173,41
174,111
175,69
176,105
177,117
178,107
179,80
180,37
181,20
182,52
183,55
184,72
185,48
186,43
187,103
188,74
189,109
190,50
191,110
192,40
193,29
194,181
195,80
196,34
197,40
198,55
199,108
200,119
201,40
202,113
203,43
204,120
205,27
206,108
207,44
208,105
209,38
210,37
211,77
212,110
213,97
214,71
215,81
216,114
217,29
218,117
219,63
220,89
221,37
222,79
223,120
224,78
225,107
226,51
227,37
228,111
229,21
230,53
231,94
232,55
233,91
234,39
235,81
236,45
237,28
238,31
239,117
240,91
241,116
242,45
243,76
244,23
245,52
246,84
247,81
248,91
249,94
250,96
251,40
252,80
253,52
254,54
255,32
256,108
257,116
258,109
259,43
260,53
261,90
262,30
263,108
264,109
265,33
266,35
267,116
268,103
269,104
270,46
271,39
272,119
273,28
274,109
275,42
276,70
277,49
278,101
279,73
280,37
281,63
282,116
283,80
284,55
285,65
286,53
287,77
288,50
289,46
290,81
291,202
292,70
293,33
294,25
295,108
296,104
297,63
298,64
299,82
300,88
301,108
302,112
303,31
304,96
305,26
306,118
307,108
308,78
309,47
310,22
311,77
312,23
313,34
314,58
315,87
316,113
317,22
318,27
319,80
320,110
321,70
322,27
323,76
324,45
325,77
326,113
327,68
328,101
329,49
330,52
331,61
332,43
333,55
334,115
335,108
336,107
337,45
338,34
339,101
340,45
341,56
342,102
343,30
344,34
345,90
346,53
347,57
348,114
349,85
350,44
351,46
352,30
353,23
354,113
355,42
356,89
357,48
358,50
359,107
360,96
361,54
362,108
363,20
364,46
365,76
366,96
367,71
368,112
369,98
370,51
371,96
372,94
373,109
374,41
375,113
376,71
377,82
378,85
379,21
380,88
381,22
382,75
383,56
384,84
385,28
386,86
387,50
388,257
389,32
390,120
391,71
392,106
393,30
394,74
395,120
396,114
397,30
398,83
399,80
400,49
401,66
402,21
403,108
404,114
405,32
406,57
407,21
408,61
409,83
410,85
411,100
412,101
413,25
414,112
415,43
416,44
417,46
418,69
419,50
420,69
421,62
422,88
423,39
424,84
425,21
426,30
427,84
428,87
429,56
430,96
431,110
432,118
433,24
434,83
435,68
436,67
437,74
438,24
439,23
440,114
441,81
442,64
443,117
444,99
445,89
446,67
447,54
448,57
449,104
450,103
451,32
452,50
453,54
454,65
455,44
456,40
457,119
458,66
